Player Name,Player Id,Injury Type,From Date,Until Date,Days Missed
Agustín Rossi,352324,Lesão no ombro,02/12/2024,,5
Agustín Rossi,352324,Muskelbündelriss,13/04/2022,02/05/2022,19
Agustín Rossi,352324,Quarentena,22/07/2021,29/07/2021,7
Cleiton,468247,Lesão na coxa,04/08/2024,24/08/2024,20
Sergio Rochet,264014,Traumatismo grade costal,16/01/2024,21/03/2024,65
Sergio Rochet,264014,Coronavírus,16/05/2022,20/05/2022,4
Sergio Rochet,264014,Infeção no tornozelo,08/04/2022,12/04/2022,4
Sergio Rochet,264014,Lesão na mão,23/10/2021,10/01/2022,79
Sergio Rochet,264014,Lesão desconhecida,12/02/2019,18/02/2019,6
Sergio Rochet,264014,Lesão desconhecida,01/11/2018,06/11/2018,5
Sergio Rochet,264014,Lesão no cotovelo,25/09/2015,01/10/2015,6
John Victor,432914,Lesão na coxa,06/02/2024,02/04/2024,56
John Victor,432914,Problemas musculares,30/10/2023,15/11/2023,16
John Victor,432914,Lesão meniscal,03/08/2021,01/12/2021,120
John Victor,432914,Coronavírus,10/01/2021,17/01/2021,7
Everson,106032,Fratura de um dedo,24/06/2024,06/08/2024,43
Brenno,555016,Corte na cabeça,09/10/2022,17/10/2022,8
Lucão,412372,Lesão na coxa,11/08/2024,18/10/2024,68
Ivan,364257,Lesão do ligamento cruzado,21/01/2024,01/12/2024,315
Ivan,364257,Lesão do ligamento cruzado,21/01/2024,21/09/2024,244
Ivan,364257,Lesão do punho,30/10/2020,03/01/2021,65
Keiller,417084,Artroscopia,01/06/2024,19/06/2024,18
Keiller,417084,Lesão no joelho,02/05/2024,11/05/2024,9
Ronaldo,387925,Problemas musculares,25/07/2024,17/08/2024,23
Ronaldo,387925,Lesão no ombro,01/08/2022,03/08/2022,2
Gabriel,79242,Problemas musculares na coxa,15/07/2024,20/07/2024,5
Gabriel,79242,Lesão desconhecida,08/03/2022,05/04/2022,28
Gabriel,79242,Problemas nas costas,27/01/2020,13/02/2020,17
Gabriel,79242,Lesão no ombro,16/08/2013,13/09/2013,28
Santos,140811,Problemas musculares na coxa,22/08/2024,,107
Santos,140811,Coronavírus,24/11/2020,10/12/2020,16
Lucas Arcanjo,645602,Lesão no joelho,02/02/2024,16/03/2024,43
Léo Linck,742034,Traumatismo craniano,30/08/2024,10/09/2024,11
Agustín Marchesín,54534,Lesão na coxa,29/02/2024,01/04/2024,32
Agustín Marchesín,54534,Rotura do tendão de Aquiles,03/02/2023,18/08/2023,196
Agustín Marchesín,54534,Lesão no joelho,19/08/2021,26/09/2021,38
Agustín Marchesín,54534,Traumatismo grade costal,01/10/2020,14/10/2020,13
Agustín Marchesín,54534,Problemas físicos,16/05/2016,16/07/2016,61
Mateus Claus,733453,Lesão muscular,13/02/2021,20/03/2021,35
Matheus Teixeira,598975,Rotura muscular na coxa,24/04/2023,29/05/2023,35
Gustavo,667411,Lesão muscular,06/04/2024,26/04/2024,20
Jandrei,512344,Lesão na mão,10/05/2023,30/06/2023,51
Jandrei,512344,Fratura,28/07/2022,17/08/2022,20
Jandrei,512344,Problemas nas costas,17/07/2022,26/07/2022,9
Jandrei,512344,Coronavírus,24/11/2020,10/12/2020,16
Rafael Cabral,103916,Lesão na mão,12/09/2021,24/09/2021,12
Rafael Cabral,103916,Fissura da banda do joelho,20/02/2014,10/07/2014,140
Cássio,50144,Problemas no Joelho,12/11/2023,01/01/2024,50
Cássio,50144,Vírus intestinal,10/02/2023,13/02/2023,3
Cássio,50144,Contra,26/11/2020,01/12/2020,5
João Ricardo,270420,Lesão nos adutores,18/03/2023,18/05/2023,61
Gatito Fernández,107318,Problemas no Joelho,16/11/2011,19/01/2012,64
Gatito Fernández,107318,Lesão no joelho,08/08/2011,17/10/2011,70
Mateus Pasinato,349418,Fratura do nariz,05/05/2021,01/07/2021,57
Marcelo Lomba,53015,Pubalgia,25/08/2024,04/10/2024,40
Danilo Fernandes,99439,Lesão no joelho,02/09/2022,19/05/2023,259
Walter,269860,Lesão muscular,06/09/2022,14/10/2022,38
Walter,269860,Lesão na coxa,09/11/2017,05/03/2018,116
Fabrício,150479,Lesão na tíbia,15/08/2024,,114
Fábio,22415,Lesão dos ligamentos laterais do joelho,14/08/2016,15/04/2017,244
Muriel,27349,Lesão no ombro,17/12/2017,17/02/2018,62
Joaquín Piquerez,496268,Lesão no joelho,17/07/2024,,143
Joaquín Piquerez,496268,Lesão muscular,10/05/2022,04/06/2022,25
Joaquín Piquerez,496268,Lesão no ombro,04/04/2022,16/04/2022,12
Joaquín Piquerez,496268,Lesão no tornozelo,24/07/2021,03/08/2021,10
Joaquín Piquerez,496268,Rotura muscular,31/05/2021,10/06/2021,10
Joaquín Piquerez,496268,Recuperação ritmo competitivo,26/01/2021,31/01/2021,5
Joaquín Piquerez,496268,Coronavírus,11/01/2021,25/01/2021,14
Joaquín Piquerez,496268,Quarentena,04/12/2020,07/12/2020,3
Joaquín Piquerez,496268,Gestão de esforço,16/10/2020,19/10/2020,3
Joaquín Piquerez,496268,Lesão muscular,20/09/2020,26/09/2020,6
Joaquín Piquerez,496268,Síndrome gripal,02/06/2017,08/06/2017,6
Guilherme Arana,346766,Entorse do tornozelo,14/11/2024,25/11/2024,11
Guilherme Arana,346766,Problemas musculares na coxa,03/10/2024,18/10/2024,15
Guilherme Arana,346766,Lesão do ligamento cruzado,12/09/2022,15/05/2023,245
Matías Viña,439072,Lesão no joelho,12/08/2024,,117
Matías Viña,439072,Problemas no Joelho,11/12/2023,19/02/2024,70
Matías Viña,439072,Lesão nos adutores,03/11/2021,26/11/2021,23
Matías Viña,439072,Lesão no joelho,15/09/2021,25/09/2021,10
Matías Viña,439072,Problemas musculares,04/09/2021,10/09/2021,6
Matías Viña,439072,Contusão no tornozelo,01/03/2021,15/03/2021,14
Matías Viña,439072,Gestão de esforço,08/01/2021,10/01/2021,2
Matías Viña,439072,Coronavírus,15/11/2020,28/11/2020,13
Matías Viña,439072,Lesão na cabeça,23/07/2020,04/08/2020,12
Matías Viña,439072,Problemas musculares,29/02/2020,06/03/2020,6
Matías Viña,439072,Lesão no pé,21/01/2020,10/02/2020,20
Vitor Reis,1005575,Lesão muscular,22/08/2024,14/09/2024,23
Léo Pereira,288431,Problemas musculares na coxa,02/12/2024,,5
Léo Pereira,288431,Problemas no Joelho,29/08/2024,11/09/2024,13
Léo Pereira,288431,Lesão na coxa,19/05/2024,29/05/2024,10
Léo Pereira,288431,Traumatismo grade costal,26/10/2023,31/10/2023,5
Léo Pereira,288431,Lesão na coxa,12/02/2020,22/02/2020,10
Murilo,458710,lesão na perna,21/11/2024,25/11/2024,4
Murilo,458710,Lesão na coxa,19/10/2024,03/11/2024,15
Murilo,458710,Entorse do tornozelo,22/07/2024,03/08/2024,12
Murilo,458710,Lesão no tornozelo,29/06/2024,16/07/2024,17
Murilo,458710,Lesão no ombro,05/05/2023,30/06/2023,56
Murilo,458710,Lesão muscular,29/11/2021,31/12/2021,32
Murilo,458710,Lesão muscular,17/09/2021,01/11/2021,45
Murilo,458710,Traumatismo,31/07/2021,30/08/2021,30
Léo Ortiz,374136,Lesão do ligamento cruzado,03/10/2022,14/07/2023,284
Vitão,428783,Lesão na coxa,16/07/2024,03/08/2024,18
Vitão,428783,Lesão na coxa,28/08/2023,25/09/2023,28
Vitão,428783,Entorse no joelho,15/05/2023,24/05/2023,9
Vitão,428783,Lesão desconhecida,02/10/2021,14/10/2021,12
Vitão,428783,Lesão desconhecida,09/12/2020,01/01/2021,23
Agustín Giay,849582,Entorse do tornozelo,25/01/2023,22/02/2023,28
Júnior Alonso,273000,Problemas no Joelho,09/11/2022,02/01/2023,54
Lucas Piton,670201,Problemas musculares,29/07/2024,17/08/2024,19
Lucas Piton,670201,Problemas musculares,07/11/2022,28/12/2022,51
Ayrton Lucas,349585,Lesão na coxa,29/05/2024,20/06/2024,22
Ayrton Lucas,349585,Traumatismo no metatarso,19/03/2022,31/03/2022,12
Ayrton Lucas,349585,Constipação,09/11/2020,15/11/2020,6
Ayrton Lucas,349585,lesão na perna,16/05/2018,08/06/2018,23
